"Tree","Transition","Observed","CI_Lower","CI_Upper","Significance"
"Tree_1","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_1","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_2","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_2","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_3","wastewater_to_clinics",25,19,30,"Within 95% CI"
"Tree_3","clinics_to_wastewater",24,19,30,"Within 95% CI"
"Tree_4","wastewater_to_clinics",26,19.975,30,"Within 95% CI"
"Tree_4","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_5","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_5","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_6","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_6","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_7","wastewater_to_clinics",26,20,30,"Within 95% CI"
"Tree_7","clinics_to_wastewater",25,20,30,"Within 95% CI"
"Tree_8","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_8","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_9","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_9","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_10","wastewater_to_clinics",25,19.975,30,"Within 95% CI"
"Tree_10","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_11","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_11","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_12","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_12","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_13","wastewater_to_clinics",21,20,30,"Within 95% CI"
"Tree_13","clinics_to_wastewater",20,20,30,"Within 95% CI"
"Tree_14","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_14","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_15","wastewater_to_clinics",26,20,29,"Within 95% CI"
"Tree_15","clinics_to_wastewater",25,20,29,"Within 95% CI"
"Tree_16","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_16","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_17","wastewater_to_clinics",28,20,30,"Within 95% CI"
"Tree_17","clinics_to_wastewater",27,20,30,"Within 95% CI"
"Tree_18","wastewater_to_clinics",21,20,30,"Within 95% CI"
"Tree_18","clinics_to_wastewater",20,20,30,"Within 95% CI"
"Tree_19","wastewater_to_clinics",21,19.975,29,"Within 95% CI"
"Tree_19","clinics_to_wastewater",20,19,29,"Within 95% CI"
"Tree_20","wastewater_to_clinics",25,20,29,"Within 95% CI"
"Tree_20","clinics_to_wastewater",24,20,29,"Within 95% CI"
"Tree_21","wastewater_to_clinics",24,19.975,29,"Within 95% CI"
"Tree_21","clinics_to_wastewater",23,19,29,"Within 95% CI"
"Tree_22","wastewater_to_clinics",23,19,30,"Within 95% CI"
"Tree_22","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_23","wastewater_to_clinics",24,20,29,"Within 95% CI"
"Tree_23","clinics_to_wastewater",23,20,29,"Within 95% CI"
"Tree_24","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_24","clinics_to_wastewater",22,20,29.025,"Within 95% CI"
"Tree_25","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_25","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_26","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_26","clinics_to_wastewater",22,20,30,"Within 95% CI"
"Tree_27","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_27","clinics_to_wastewater",23,19.975,30,"Within 95% CI"
"Tree_28","wastewater_to_clinics",25,21,30,"Within 95% CI"
"Tree_28","clinics_to_wastewater",24,21,30,"Within 95% CI"
"Tree_29","wastewater_to_clinics",22,20,30,"Within 95% CI"
"Tree_29","clinics_to_wastewater",21,20,30,"Within 95% CI"
"Tree_30","wastewater_to_clinics",24,20,31,"Within 95% CI"
"Tree_30","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_31","wastewater_to_clinics",23,20,30,"Within 95% CI"
"Tree_31","clinics_to_wastewater",22,20,30.025,"Within 95% CI"
"Tree_32","wastewater_to_clinics",28,20,30,"Within 95% CI"
"Tree_32","clinics_to_wastewater",27,20,30,"Within 95% CI"
"Tree_33","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_33","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_34","wastewater_to_clinics",28,20,30,"Within 95% CI"
"Tree_34","clinics_to_wastewater",27,20,30,"Within 95% CI"
"Tree_35","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_35","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_36","wastewater_to_clinics",27,20,30,"Within 95% CI"
"Tree_36","clinics_to_wastewater",26,20,31,"Within 95% CI"
"Tree_37","wastewater_to_clinics",24,20,30,"Within 95% CI"
"Tree_37","clinics_to_wastewater",23,20,30,"Within 95% CI"
"Tree_38","wastewater_to_clinics",22,20,30,"Within 95% CI"
"Tree_38","clinics_to_wastewater",21,20,30,"Within 95% CI"
"Tree_39","wastewater_to_clinics",24,19,30,"Within 95% CI"
"Tree_39","clinics_to_wastewater",23,19,29,"Within 95% CI"
"Tree_40","wastewater_to_clinics",25,20,30,"Within 95% CI"
"Tree_40","clinics_to_wastewater",24,20,30,"Within 95% CI"
"Tree_41","wastewater_to_clinics",24,19,30,"Within 95% CI"
"Tree_41","clinics_to_wastewater",23,19,30,"Within 95% CI"
"Tree_42","wastewater_to_clinics",22,19,30,"Within 95% CI"
"Tree_42","clinics_to_wastewater",21,20,30,"Within 95% CI"
"Tree_43","wastewater_to_clinics",28,20,30,"Within 95% CI"
