"Tree","Transition","Observed","CI_Lower","CI_Upper","Significance"
"Tree_1","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_1","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_1","wastewater_to_clinics",300,327,363,"Below 95% CI"
"Tree_1","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_1","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_1","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_1","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_1","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_1","clinics_to_wastewater",299,327,363,"Below 95% CI"
"Tree_1","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_1","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_1","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_1","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_1","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_1","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_1","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_2","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_2","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_2","wastewater_to_clinics",298,328,364,"Below 95% CI"
"Tree_2","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_2","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_2","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_2","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_2","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_2","clinics_to_wastewater",297,327.975,364,"Below 95% CI"
"Tree_2","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_2","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_2","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_2","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_2","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_2","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_2","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_3","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_3","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_3","wastewater_to_clinics",309,329,364,"Below 95% CI"
"Tree_3","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_3","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_3","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_3","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_3","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_3","clinics_to_wastewater",308,329,363.025,"Below 95% CI"
"Tree_3","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_3","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_3","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_3","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_3","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_3","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_3","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_4","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_4","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_4","wastewater_to_clinics",302,327,365,"Below 95% CI"
"Tree_4","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_4","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_4","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_4","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_4","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_4","clinics_to_wastewater",301,327,364,"Below 95% CI"
"Tree_4","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_4","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_4","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_4","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_4","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_4","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_4","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_5","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_5","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_5","wastewater_to_clinics",309,327,363,"Below 95% CI"
"Tree_5","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_5","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_5","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_5","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_5","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_5","clinics_to_wastewater",308,327,363,"Below 95% CI"
"Tree_5","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_5","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_5","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_5","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_5","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_5","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_5","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_6","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_6","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_6","wastewater_to_clinics",311,327,365.025,"Below 95% CI"
"Tree_6","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_6","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_6","livestock_to_livestock",0,0,0,"Within 95% CI"
