Sample_ID,Sample,Sample_date,Location,Region,Date,Year,Source_detailed,Source,Phylogroup,ST
A81778_1,20211116alt1,20211116alt1,StGallen,Ostschweiz,16_11_2021,2021,wastewater,wastewater,D,38
A81779_1,20211116alt2,20211116alt2,StGallen,Ostschweiz,16_11_2021,2021,wastewater,wastewater,A,744
A81780_1,20211116alt3,20211116alt3,StGallen,Ostschweiz,16_11_2021,2021,wastewater,wastewater,B2,131
A81781_1,20211116alt4,20211116alt4,StGallen,Ostschweiz,16_11_2021,2021,wastewater,wastewater,A,744
A81782_1,20211116chu1,20211116chu1,Graubunden,Ostschweiz,16_11_2021,2021,wastewater,wastewater,D,405
A81783_1,20211116chu2,20211116chu2,Graubunden,Ostschweiz,16_11_2021,2021,wastewater,wastewater,A,361
A81784_1,20211116chu3,20211116chu3,Graubunden,Ostschweiz,16_11_2021,2021,wastewater,wastewater,A,361
A81785_1,20211116chu4,20211116chu4,Graubunden,Ostschweiz,16_11_2021,2021,wastewater,wastewater,D,394
A81787_1,20211116gen2,20211116gen2,Geneva,lémanique,16_11_2021,2021,wastewater,wastewater,B1,156
A81788_1,20211116gen3,20211116gen3,Geneva,lémanique,16_11_2021,2021,wastewater,wastewater,D,69
A81789_1,20211116gen4,20211116gen4,Geneva,lémanique,16_11_2021,2021,wastewater,wastewater,A,167
A81790_1,20211116lug1,20211116lug1,Ticino,Ticino,16_11_2021,2021,wastewater,wastewater,D,38
A81791_1,20211116lug2,20211116lug2,Ticino,Ticino,16_11_2021,2021,wastewater,wastewater,B2,131
A81792_1,20211116lug3,20211116lug3,Ticino,Ticino,16_11_2021,2021,wastewater,wastewater,B2,131
A81793_1,20211116lug4,20211116lug4,Ticino,Ticino,16_11_2021,2021,wastewater,wastewater,A,361
A81794_1,20211116sen1,20211116sen1,Bern,Mittelland,16_11_2021,2021,wastewater,wastewater,B2,131
A81795_1,20211116sen2,20211116sen2,Bern,Mittelland,16_11_2021,2021,wastewater,wastewater,D,349
A81796_1,20211116sen3,20211116sen3,Bern,Mittelland,16_11_2021,2021,wastewater,wastewater,D,69
A81797_1,20211116sen4,20211116sen4,Bern,Mittelland,16_11_2021,2021,wastewater,wastewater,A,10
A81798_1,20211116zur1,20211116zur1,Zurich,Zurich,16_11_2021,2021,wastewater,wastewater,B2,131
A81799_1,20211116zur2,20211116zur2,Zurich,Zurich,16_11_2021,2021,wastewater,wastewater,A,na
A81800_1,20211116zur3,20211116zur3,Zurich,Zurich,16_11_2021,2021,wastewater,wastewater,A,10
A81801_1,20211116zur4,20211116zur4,Zurich,Zurich,16_11_2021,2021,wastewater,wastewater,A,2531
A81802_1,20211123alt1,20211123alt1,StGallen,Ostschweiz,23_11_2021,2021,wastewater,wastewater,B2,1193
A81803_1,20211123alt2,20211123alt2,StGallen,Ostschweiz,23_11_2021,2021,wastewater,wastewater,A,226
A81804_1,20211123alt3,20211123alt3,StGallen,Ostschweiz,23_11_2021,2021,wastewater,wastewater,A,10
A81806_1,20211123chu1,20211123chu1,Graubunden,Ostschweiz,23_11_2021,2021,wastewater,wastewater,A,361
A81807_1,20211123chu2,20211123chu2,Graubunden,Ostschweiz,23_11_2021,2021,wastewater,wastewater,A,10
A81808_1,20211123chu3,20211123chu3,Graubunden,Ostschweiz,23_11_2021,2021,wastewater,wastewater,D,3268
A81809_1,20211123chu4,20211123chu4,Graubunden,Ostschweiz,23_11_2021,2021,wastewater,wastewater,A,361
A81810_1,20211123gen1,20211123gen1,Geneva,lémanique,23_11_2021,2021,wastewater,wastewater,B1,517
A81811_1,20211123gen2,20211123gen2,Geneva,lémanique,23_11_2021,2021,wastewater,wastewater,D,69
A81812_1,20211123gen3,20211123gen3,Geneva,lémanique,23_11_2021,2021,wastewater,wastewater,A,10
A81814_1,20211123lug1,20211123lug1,Ticino,Ticino,23_11_2021,2021,wastewater,wastewater,B2,131
A81815_1,20211123lug2,20211123lug2,Ticino,Ticino,23_11_2021,2021,wastewater,wastewater,A,10
A81817_1,20211123lug3,20211123lug3,Ticino,Ticino,23_11_2021,2021,wastewater,wastewater,B2,131
A81818_1,20211123sen1,20211123sen1,Bern,Mittelland,23_11_2021,2021,wastewater,wastewater,B2,na
A81819_1,20211123sen2,20211123sen2,Bern,Mittelland,23_11_2021,2021,wastewater,wastewater,D,38
A81820_1,20211123sen3,20211123sen3,Bern,Mittelland,23_11_2021,2021,wastewater,wastewater,F,1722
A81822_1,20211123zur1,20211123zur1,Zurich,Zurich,23_11_2021,2021,wastewater,wastewater,B2,131
A81823_1,20211123zur2,20211123zur2,Zurich,Zurich,23_11_2021,2021,wastewater,wastewater,B2,131
A81824_1,20211123zur3,20211123zur3,Zurich,Zurich,23_11_2021,2021,wastewater,wastewater,A,10
A81825_1,20211123zur4,20211123zur4,Zurich,Zurich,23_11_2021,2021,wastewater,wastewater,B2,1193
A81827_1,20211214alt2,20211214alt2,StGallen,Ostschweiz,14_12_2021,2021,wastewater,wastewater,A,10
A81828_1,20211214alt3,20211214alt3,StGallen,Ostschweiz,14_12_2021,2021,wastewater,wastewater,D,38
A81829_1,20211214alt4,20211214alt4,StGallen,Ostschweiz,14_12_2021,2021,wastewater,wastewater,B1,1167
A81830_1,20211214chu1,20211214chu1,Graubunden,Ostschweiz,14_12_2021,2021,wastewater,wastewater,B2,131
A81831_1,20211214chu2,20211214chu2,Graubunden,Ostschweiz,14_12_2021,2021,wastewater,wastewater,D,38
A81832_1,20211214chu3,20211214chu3,Graubunden,Ostschweiz,14_12_2021,2021,wastewater,wastewater,B2,141
A81833_1,20211214chu4,20211214chu4,Graubunden,Ostschweiz,14_12_2021,2021,wastewater,wastewater,B2,131
A81834_1,20211214gen1,20211214gen1,Geneva,lémanique,14_12_2021,2021,wastewater,wastewater,B2,131
A81835_1,20211214gen2,20211214gen2,Geneva,lémanique,14_12_2021,2021,wastewater,wastewater,B2,131
A81836_1,20211214gen3,20211214gen3,Geneva,lémanique,14_12_2021,2021,wastewater,wastewater,B1,155
A81837_1,20211214gen4,20211214gen4,Geneva,lémanique,14_12_2021,2021,wastewater,wastewater,F,59
A81838_1,20211214lug1,20211214lug1,Ticino,Ticino,14_12_2021,2021,wastewater,wastewater,B2,2013
A81839_1,20211214lug2,20211214lug2,Ticino,Ticino,14_12_2021,2021,wastewater,wastewater,D,38
A81840_1,20211214lug3,20211214lug3,Ticino,Ticino,14_12_2021,2021,wastewater,wastewater,D,38
A81841_1,20211214lug4,20211214lug4,Ticino,Ticino,14_12_2021,2021,wastewater,wastewater,F,1485
A81842_1,20211214sen1,20211214sen1,Bern,Mittelland,14_12_2021,2021,wastewater,wastewater,B2,73
A81843_1,20211214sen2,20211214sen2,Bern,Mittelland,14_12_2021,2021,wastewater,wastewater,D,38
A81844_1,20211214sen3,20211214sen3,Bern,Mittelland,14_12_2021,2021,wastewater,wastewater,A,361
A81845_1,20211214sen4,20211214sen4,Bern,Mittelland,14_12_2021,2021,wastewater,wastewater,D,69
A81847_1,20211214zur2,20211214zur2,Zurich,Zurich,14_12_2021,2021,wastewater,wastewater,F,354
A81848_1,20211214zur3,20211214zur3,Zurich,Zurich,14_12_2021,2021,wastewater,wastewater,B2,131
A81849_1,20211214zur4,20211214zur4,Zurich,Zurich,14_12_2021,2021,wastewater,wastewater,D,656
A81850_1,20220118alt1,20220118alt1,StGallen,Ostschweiz,18_01_2022,2022,wastewater,wastewater,A,1598
A81852_1,20220118alt3,20220118alt3,StGallen,Ostschweiz,18_01_2022,2022,wastewater,wastewater,F,1722
A81853_1,20220118alt4,20220118alt4,StGallen,Ostschweiz,18_01_2022,2022,wastewater,wastewater,F,648
A81854_1,20220118chu1,20220118chu1,Graubunden,Ostschweiz,18_01_2022,2022,wastewater,wastewater,B2,131
A81855_1,20220118chu2,20220118chu2,Graubunden,Ostschweiz,18_01_2022,2022,wastewater,wastewater,A,93
A81856_1,20220118chu3,20220118chu3,Graubunden,Ostschweiz,18_01_2022,2022,wastewater,wastewater,D,38
A81857_1,20220118chu4,20220118chu4,Graubunden,Ostschweiz,18_01_2022,2022,wastewater,wastewater,B2,131
A81858_1,20220118gen1,20220118gen1,Geneva,lémanique,18_01_2022,2022,wastewater,wastewater,F,648
A81859_1,20220118gen2,20220118gen2,Geneva,lémanique,18_01_2022,2022,wastewater,wastewater,B1,1431
A81860_1,20220118gen3,20220118gen3,Geneva,lémanique,18_01_2022,2022,wastewater,wastewater,A,na
A81861_1,20220118gen4,20220118gen4,Geneva,lémanique,18_01_2022,2022,wastewater,wastewater,A,na
A81862_1,20220118lug1,20220118lug1,Ticino,Ticino,18_01_2022,2022,wastewater,wastewater,B2,131
A81863_1,20220118lug2,20220118lug2,Ticino,Ticino,18_01_2022,2022,wastewater,wastewater,B2,131
A81864_1,20220118lug3,20220118lug3,Ticino,Ticino,18_01_2022,2022,wastewater,wastewater,D,38
A81865_1,20220118lug4,20220118lug4,Ticino,Ticino,18_01_2022,2022,wastewater,wastewater,B2,131
A81866_1,20220118sen1,20220118sen1,Bern,Mittelland,18_01_2022,2022,wastewater,wastewater,A,10
A81867_1,20220118sen2,20220118sen2,Bern,Mittelland,18_01_2022,2022,wastewater,wastewater,B2,80
A81868_1,20220118sen3,20220118sen3,Bern,Mittelland,18_01_2022,2022,wastewater,wastewater,B2,131
A81869_1,20220118sen4,20220118sen4,Bern,Mittelland,18_01_2022,2022,wastewater,wastewater,B2,131
A81874_1,20220118zur1,20220118zur1,Zurich,Zurich,18_01_2022,2022,wastewater,wastewater,B1,517
A81875_1,20220118zur2,20220118zur2,Zurich,Zurich,18_01_2022,2022,wastewater,wastewater,D,38
A81876_1,20220118zur3,20220118zur3,Zurich,Zurich,18_01_2022,2022,wastewater,wastewater,A,na
A81877_1,20220118zur4,20220118zur4,Zurich,Zurich,18_01_2022,2022,wastewater,wastewater,D,69
A81878_1,20220215alt1,20220215alt1,StGallen,Ostschweiz,15_02_2022,2022,wastewater,wastewater,D,394
A81879_1,20220215alt2,20220215alt2,StGallen,Ostschweiz,15_02_2022,2022,wastewater,wastewater,F,648
A81880_1,20220215alt3,20220215alt3,StGallen,Ostschweiz,15_02_2022,2022,wastewater,wastewater,D,69
A81881_1,20220215alt4,20220215alt4,StGallen,Ostschweiz,15_02_2022,2022,wastewater,wastewater,A,10
A81882_1,20220215chu1,20220215chu1,Graubunden,Ostschweiz,15_02_2022,2022,wastewater,wastewater,B2,131
A81883_1,20220215chu2,20220215chu2,Graubunden,Ostschweiz,15_02_2022,2022,wastewater,wastewater,B1,12116
A81884_1,20220215chu3,20220215chu3,Graubunden,Ostschweiz,15_02_2022,2022,wastewater,wastewater,B2,131
A81885_1,20220215chu4,20220215chu4,Graubunden,Ostschweiz,15_02_2022,2022,wastewater,wastewater,A,43
A81886_1,20220215gen1,20220215gen1,Geneva,lémanique,15_02_2022,2022,wastewater,wastewater,A,23
A81887_1,20220215gen2,20220215gen2,Geneva,lémanique,15_02_2022,2022,wastewater,wastewater,B2,131
A81888_1,20220215gen3,20220215gen3,Geneva,lémanique,15_02_2022,2022,wastewater,wastewater,B2,131
A81890_1,20220215lug1,20220215lug1,Ticino,Ticino,15_02_2022,2022,wastewater,wastewater,A,361
