Sample,source,sample_type,Batch,Definition,Coverage,# Reads,Contamination,low_coverage,low_quality_assembly,Final tree
20211116alt1,wastewater,esblecoli,batch1,unique,75,625025,no,no,no,yes
20211116alt2,wastewater,esblecoli,batch1,unique,61,505284,no,no,no,yes
20211116alt3,wastewater,esblecoli,batch1,unique,75,628806,no,no,no,yes
20211116alt4,wastewater,esblecoli,batch1,unique,76,636952,no,no,no,yes
20211116chu1,wastewater,esblecoli,batch1,unique,65,542789,no,no,no,yes
20211116chu2,wastewater,esblecoli,batch1,unique,59,494282,no,no,no,yes
20211116chu3,wastewater,esblecoli,batch1,unique,72,601939,no,no,no,yes
20211116chu4,wastewater,esblecoli,batch1,unique,63,528275,no,no,no,yes
20211116gen2,wastewater,esblecoli,batch1,unique,59,488566,no,no,no,yes
20211116gen3,wastewater,esblecoli,batch1,unique,84,702820,no,no,no,yes
20211116gen4,wastewater,esblecoli,batch1,unique,60,496269,no,no,no,yes
20211116lug1,wastewater,esblecoli,batch1,unique,46,383645,no,no,no,yes
20211116lug2,wastewater,esblecoli,batch1,unique,48,403345,no,no,no,yes
20211116lug3,wastewater,esblecoli,batch1,unique,50,417355,no,no,no,yes
20211116lug4,wastewater,esblecoli,batch1,unique,58,483261,no,no,no,yes
20211116sen1,wastewater,esblecoli,batch1,unique,53,443946,no,no,no,yes
20211116sen2,wastewater,esblecoli,batch1,unique,56,465998,no,no,no,yes
20211116sen3,wastewater,esblecoli,batch1,unique,59,495723,no,no,no,yes
20211116sen4,wastewater,esblecoli,batch1,unique,65,539925,no,no,no,yes
20211116zur1,wastewater,esblecoli,batch1,unique,47,391838,no,no,no,yes
20211116zur2,wastewater,esblecoli,batch1,unique,50,420738,no,no,no,yes
20211116zur3,wastewater,esblecoli,batch1,unique,46,379490,no,no,no,yes
20211116zur4,wastewater,esblecoli,batch1,unique,46,380477,no,no,no,yes
20211123alt1,wastewater,esblecoli,batch1,unique,52,433635,no,no,no,yes
20211123alt2,wastewater,esblecoli,batch1,unique,50,417219,no,no,no,yes
20211123alt3,wastewater,esblecoli,batch1,unique,47,391725,no,no,no,yes
20211123chu1,wastewater,esblecoli,batch1,unique,47,393633,no,no,no,yes
20211123chu2,wastewater,esblecoli,batch1,unique,45,377320,no,no,no,yes
20211123chu3,wastewater,esblecoli,batch1,unique,40,333220,no,no,no,yes
20211123chu4,wastewater,esblecoli,batch1,unique,47,391126,no,no,no,yes
20211123gen1,wastewater,esblecoli,batch1,unique,47,389946,no,no,no,yes
20211123gen2,wastewater,esblecoli,batch1,unique,50,419421,no,no,no,yes
20211123gen3,wastewater,esblecoli,batch1,unique,49,406041,no,no,no,yes
20211123lug1,wastewater,esblecoli,batch1,unique,47,390712,no,no,no,yes
20211123lug2,wastewater,esblecoli,batch1,unique,43,362447,no,no,no,yes
20211123lug3,wastewater,esblecoli,batch1,unique,46,385295,no,no,no,yes
20211123sen1,wastewater,esblecoli,batch1,unique,43,357406,no,no,no,yes
20211123sen2,wastewater,esblecoli,batch1,unique,52,429653,no,no,no,yes
20211123sen3,wastewater,esblecoli,batch1,unique,59,487763,no,no,no,yes
20211123zur1,wastewater,esblecoli,batch1,unique,41,345494,no,no,no,yes
20211123zur2,wastewater,esblecoli,batch1,unique,39,324300,no,no,no,yes
20211123zur3,wastewater,esblecoli,batch1,unique,46,380179,no,no,no,yes
