#FILE	NUM_FOUND	AAC(3)-IId	AAC(3)-IIe	AAC(3)-IV	AAC(3)-Ic	AAC(6')-Ian	AAC(6')-Ib-cr	AAC(6')-Ib7	AAC(6')-Iy	ACT-17	ADC-44	ANT(2'')-Ia	ANT(3'')-IIa	APH(3'')-Ib	APH(3')-IIa	APH(3')-Ia	APH(3')-VI	APH(4)-Ia	APH(6)-Id	Acinetobacter_baumannii_AmvA	CARB-3	CMY-42	CMY-59	CRP	CTX-M-1	CTX-M-121	CTX-M-139	CTX-M-14	CTX-M-15	CTX-M-2	CTX-M-24	CTX-M-27	CTX-M-3	CTX-M-32	CTX-M-55	CTX-M-65	CTX-M-8	CTX-M-9	DHA-1	Enterobacter_cloacae_acrA	Enterococcus_faecalis_chloramphenicol_acetyltransferase	EreA2	ErmB	Escherichia_coli_acrA	Escherichia_coli_ampC	Escherichia_coli_ampC1_beta-lactamase	Escherichia_coli_ampH	Escherichia_coli_emrE	Escherichia_coli_mdfA	FosA2	FosA3	FosA7	H-NS	Klebsiella_pneumoniae_KpnF	Klebsiella_pneumoniae_KpnH	LAP-2	MCR-9	NDM-1	NDM-5	OXA-1	OXA-10	OXA-114a	OXA-2	OXA-244	OXA-330	OXA-48	QnrB17	QnrB20	QnrB4	QnrB5	QnrS1	QnrS2	SAT-1	SHV-102	SHV-134	TEM-1	TEM-104	TEM-12	TEM-122	TEM-135	TEM-141	TEM-150	TEM-158	TEM-176	TEM-206	TEM-207	TEM-215	TEM-30	TEM-33	TEM-40	TEM-57	TEM-73	Tet(X4)	aadA16	aadA2	aadA25	aadA3	aadA5	abeM	abeS	acrB	acrD	acrE	acrF	acrS	adeF	adeG	adeH	adeI	adeJ	adeK	armA	arr-2	arr-3	bacA	baeR	baeS	catB2	catB3	catI	catII_from_Escherichia_coli_K-12	cmlA1	cmlA5	cpxA	determinant_of_bleomycin_resistance	dfrA1	dfrA12	dfrA14	dfrA15	dfrA16	dfrA17	dfrA25	dfrA27	dfrA5	dfrA7	dfrA8	dfrB4	emrA	emrB	emrK	emrR	emrY	eptA	evgA	evgS	floR	gadW	gadX	golS	kdpE	linG	lnuG	marA	mdtA	mdtB	mdtC	mdtE	mdtF	mdtG	mdtH	mdtM	mdtN	mdtO	mdtP	mphA	mphB	mphE	msbA	msrE	pmrF	qacH	ramA	rmtC	sul1	sul2	sul3	tet(A)	tet(B)	tet(D)	tetM	tolC	ugd	yojI
/cluster/scratch/sheenac/Data/Blasted/20211116alt1_card.txt	53	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	100	.	.	.	.	.	.	100	.	.	.	.	100	100	100	100	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	100	100	100	.	.	.	.	.	.	.	.	.	99.76	99.86	100	.	.	.	.	.	.	100	.	.	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	.	100	.	.	100	100	100	100	100	.	100	100	100	100	100	100	100	99.58	.	100	.	100	.	.	.	100	100	.	97.8	.	.	.	100	100	100
/cluster/scratch/sheenac/Data/Blasted/20211116alt2_card.txt	58	.	100	.	.	.	.	.	.	.	.	.	82.51	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	100	100	100	93.82	100	.	.	.	.	.	.	.	.	.	100	100	100	.	.	100	.	.	.	100	.	.	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	100	100	100	100	100	.	100	100	98.3	100	100	100	.	100	.	100	.	100	97.3	.	.	100	100	100	100	100	.	.	100	.	100
/cluster/scratch/sheenac/Data/Blasted/20211116alt3_card.txt	44	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	100	100	.	100	100	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	.	.	.	.	.	.	.	.	99.76	99.86	100	.	.	.	.	.	.	99.56	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	.	99.26	.	.	100	100	100	100	100	.	100	100	100	100	100	100	.	.	.	100	.	100	.	.	.	.	.	.	.	.	.	.	100	100	100
/cluster/scratch/sheenac/Data/Blasted/20211116alt4_card.txt	61	.	100	.	.	.	.	.	.	.	.	.	82.51	100	.	80.64	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	100	100	100	100	100	.	.	.	.	.	.	.	.	.	100	100	100	.	.	100	.	.	.	100	.	.	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	100	100	100	100	100	100	100	100	98.3	100	100	100	.	100	.	100	.	100	97.3	.	.	100	100	100	100	100	.	.	100	.	100
/cluster/scratch/sheenac/Data/Blasted/20211116chu1_card.txt	53	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	100	100	100	93.56	100	.	.	.	.	.	.	.	.	.	99.76	99.86	100	.	.	.	.	.	.	100	.	.	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	.	100	.	.	100	100	100	100	100	.	100	100	.	100	100	100	100	99.58	.	100	.	100	.	.	.	100	100	.	97.8	.	.	.	100	100	100
/cluster/scratch/sheenac/Data/Blasted/20211116chu2_card.txt	52	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	.	.	.	.	.	.	.	.	100	100	100	.	.	.	.	.	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	.	100	.	.	100	100	100	100	100	.	100	100	100	100	100	100	.	100	.	100	.	100	.	.	.	.	100	.	97.8	.	.	.	100	.	100
/cluster/scratch/sheenac/Data/Blasted/20211116chu3_card.txt	53	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	.	.	.	.	.	.	.	.	100	100	100	.	.	.	.	.	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	.	100	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	100	.	100	.	.	.	.	100	.	97.8	.	.	.	100	.	100
/cluster/scratch/sheenac/Data/Blasted/20211116chu4_card.txt	48	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	93.56	100	.	.	.	.	.	.	.	.	.	99.76	99.86	100	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	.	99.71	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	100	.	100	.	.	.	.	.	.	.	.	.	.	100	100	100
/cluster/scratch/sheenac/Data/Blasted/20211116gen2_card.txt	50	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	.	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	100	100	100	93.85	100	.	.	.	.	.	.	.	.	.	99.76	100	100	.	.	.	.	.	.	100	.	.	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	.	99.26	.	.	100	100	100	100	100	.	100	100	100	100	100	100	100	99.58	.	100	.	100	.	.	.	100	.	.	.	.	.	.	100	.	100
/cluster/scratch/sheenac/Data/Blasted/20211116gen3_card.txt	53	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	100	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	100	.	100	93.56	.	.	.	.	.	.	.	.	.	.	99.76	99.86	100	.	.	.	.	.	.	100	.	.	.	.	.	.	100	.	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	.	99.71	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	100	.	100	.	.	.	100	100	.	.	100	.	.	100	100	100
